         1          1
         2          3
         3          4
         4          6
         5         10
         6          2
         7         11
         8         19
         9         13
        10         18
        11         15
        12         16
        13         17
        14         14
        15         12
        16         20
        17         21
        18         22
        19         23
        20         24
        21         25
        22         26
        23         27
        24         28
        25         29
        26         30
        27         31
        28         32
        29         33
        30         34
        32         35
        33         39
        34         38
        35         37
        36         36
        37         41
        38         43
        39         46
        40         48
        41         50
        42         52
        43         54
        44         55
        45         56
        47         57
        48         58
        49         59
