         1          5
         2          6
         3          7
         4          8
         5          9
         6         10
         7         11
         8         12
         9         13
        10         14
        11         15
        12         16
        13         17
        14         18
        15         19
        16         20
        17         21
        18         28
        19         27
        20         29
        21         26
        22         25
        23         22
        25         34
        26         35
        27         36
        28         37
        29         38
        33         42
        34         43
        35         49
        36         48
        37         47
