         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8          8
         9          9
        10         10
        14         11
        15         12
        16         14
        17         15
        18         16
        19         17
        20         19
        21         20
        22         21
        23         22
        24         23
        25         24
        26         25
        27         26
        28         27
        29         28
        30         29
        31         30
        32         31
        33         33
        34         34
        35         35
        36         36
        37         37
        38         18
        40         38
        41         39
        42         13
        45         42
        46         43
        47         44
