         1          1
         2          2
         3         20
         4          3
         5          4
         6          5
         7          6
         8          7
         9          8
        10          9
        11         10
        12         11
        13         12
        14         13
        16         14
        17         15
        18         16
        19         17
        20         18
        22         21
        23         22
        24         34
        25         35
        26         36
        27         37
        28         38
        29         39
        30         40
        31         41
        32         42
        33         43
        34         44
        35         45
