         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8          8
         9          9
        10         10
        14         11
        15         12
        16         13
        17         14
        18         15
        19         16
        20         17
        21         18
        22         19
        23         20
        24         21
        25         22
        26         23
        27         24
        28         25
        29         26
        30         27
        31         28
        32         29
        33         31
        34         32
        35         33
        36         34
        37         35
        38         36
        41         37
        42         38
        45         41
        46         42
        47         43
