         1          9
         2          5
         3          3
         4          1
         5          2
         6          4
         7          6
         8          7
         9         10
        10          8
        11         11
        12         12
        13         13
        14         14
        15         15
        16         17
        17         18
        18         16
        20         20
        21         21
        22         22
        23         23
        24         24
        25         25
        26         26
        27         27
        28         28
        29         29
        30         30
        31         31
        32         32
        33         33
        34         34
        35         35
        36         36
        37         41
        38         40
        39         39
        40         38
        41         37
        43         46
        45         44
        46         43
