         1          2
         2          4
         3         36
         4          5
         5          6
         6          9
         7         10
         8         11
         9         13
        10         16
        11         17
        12         18
        13         19
        14         20
        15         42
        16         22
        17         25
        18         26
        19         27
        20         28
        24         15
        25         32
        26          1
        27          3
        28         12
        29          8
        30          7
        31         33
        32         21
        33         14
        34         24
        35         23
