         1          2
         2         12
         3         14
         4          9
         5          8
         6          6
         7         10
         8          1
         9          5
        10         11
        11          3
        12          4
        13          7
        14         13
        15         28
        16         25
        17         26
        18         22
        19         23
        20         24
        24         35
        25         36
        26         37
        27         38
        28         39
        29         40
        30         41
        31         42
        32         43
        33         44
        34         45
        35         46
