         1          2
         2          4
         3          5
         4          6
         5         10
         6         11
         7         12
         8         14
         9         17
        10         18
        11         19
        12         20
        13         21
        14         23
        15         26
        16         27
        17         28
        18         29
        20         34
        21         35
        22         36
        23         37
        24         38
        25         39
        26         40
        27         41
        28         42
        29         43
        30         44
        31         45
        32         46
        33         47
        34         48
        35         16
        36          7
        37          1
        38          3
        39         13
        40          9
        41          8
        42         31
        43         22
        44         15
        45         25
        46         24
