         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8          8
         9          9
        10         10
        11         15
        12         16
        13         17
        14         18
        15         19
        16         20
        17         21
        18         22
        19         23
        20         24
        21         25
        22         26
        23         27
        24         28
        25         29
        26         30
        27         31
        28         32
        29         33
        30         35
        31         36
        32         37
        33         38
        34         39
        35         40
        36         41
        37         42
        38         43
        39         44
        42         47
        43         48
        44         49
