         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8          8
         9          9
        10         10
        11         11
        12         12
        13         13
        14         14
        15         15
        16         16
        17         17
        18         18
        19         19
        20         20
        21         21
        22         27
        25         29
        26         31
        28         33
        30         35
        31         36
        32         37
        33         38
        34         39
        35         40
        36         41
        37         42
        38         43
        39         44
        40         45
        41         46
        42         47
        43         48
        45         30
        46         49
