         1          4
         2          5
         3          3
         4          6
         5          2
         6         19
         7          7
         8          9
         9          1
        10          8
        11         10
        12         11
        13         12
        14         13
        15         14
        16         15
        17         16
        18         17
        20         31
        21         32
        22         33
        23         34
        24         35
        25         36
        26         37
        27         38
        28         39
        29         40
        30         41
        31         42
        32         43
        33         44
        34         45
        35         23
        39         22
        40         21
        41         20
        45         27
        46         26
