         1          8
         2          7
         3          6
         4          5
         5          4
         6          2
         7          1
         8          3
         9         24
        10         25
        11         26
        12         27
        13         23
        14          9
        15         10
        16         11
        17         12
        18         13
        19         14
        20         15
        21         16
        22         17
        23         18
        24         19
        25         45
        27         46
        28         44
        35         20
        36         21
        37         22
        41         28
        42         29
        43         30
        44         31
        45         32
        47         34
        48         35
        49         36
        50         37
        51         38
        52         47
        53         49
        59         39
        60         40
        61         41
        62         42
        63         43
