         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8          8
         9          9
        10         11
        11         12
        12         14
        13         15
        14         16
        15         17
        16         19
        17         20
        18         21
        19         22
        20         23
        21         24
        22         25
        23         26
        24         27
        25         28
        26         29
        27         30
        28         31
        29         33
        30         34
        31         35
        32         36
        33         37
        34         18
        36         38
        37         39
        38         13
        41         42
        42         43
        43         44
        44         10
