         1          1
         2          2
         3          3
         4          4
         5          5
         6          6
         7          7
         8         16
         9          8
        10          9
        11         10
        12         11
        13         12
        14         13
        15         14
        16         17
        17         18
        20         30
        21         31
        22         32
        23         33
        24         34
        25         35
        26         36
        27         37
        28         38
        29         39
        30         40
        31         41
        32         42
        33         43
        34         44
        35         45
        36         46
        37         47
        38         48
        39         49
        40         50
        41         51
        42         52
        43         53
        44         54
        45         55
        46         56
